pointid,grid_code,POINT_X,POINT_Y
1,-65.6209106,-97.361257241297722,26.277797868532502
2,-60.1568604,-97.360181679374989,26.277797868532502
3,-51.9607849,-97.359106117452257,26.277797868532502
4,-54.6928101,-97.358030555529467,26.277797868532502
5,-73.8169861,-97.356954993606621,26.277797868532502
6,-84.7450867,-97.355879431683888,26.277797868532502
7,-73.8169861,-97.354803869761099,26.277797868532502
8,-57.4248352,-97.353728307838367,26.277797868532502
9,-49.2287598,-97.352652745915634,26.277797868532502
10,-57.4248352,-97.351577183992845,26.277797868532502
11,-51.9607849,-97.350501622069999,26.277797868532502
12,-57.4248352,-97.349426060147209,26.277797868532502
13,-65.6209106,-97.348350498224477,26.277797868532502
14,-71.0849609,-97.347274936301744,26.277797868532502
15,-73.8169861,-97.346199374379012,26.277797868532502
16,-65.6209106,-97.345123812456222,26.277797868532502
17,-43.7647095,-97.344048250533490,26.277797868532502
18,-27.3725586,-97.342972688610587,26.277797868532502
19,-101.1372375,-97.341897126687968,26.277797868532502
20,-109.3333130,-97.340821564765122,26.277797868532502
21,-109.3333130,-97.339746002842389,26.277797868532502
22,-109.3333130,-97.338670440919600,26.277797868532502
23,-109.3333130,-97.337594878996867,26.277797868532502
24,-109.3333130,-97.336519317074135,26.277797868532502
25,-109.3333130,-97.335443755151346,26.277797868532502
26,-109.3333130,-97.334368193228499,26.277797868532502
27,-109.3333130,-97.333292631305767,26.277797868532502
28,-109.3333130,-97.332217069382978,26.277797868532502
29,-109.3333130,-97.331141507460245,26.277797868532502
30,-109.3333130,-97.330065945537513,26.277797868532502
31,-109.3333130,-97.328990383614723,26.277797868532502
32,-109.3333130,-97.327914821691877,26.277797868532502
33,-109.3333130,-97.326839259769088,26.277797868532502
34,-109.3333130,-97.325763697846355,26.277797868532502
35,-109.3333130,-97.324688135923623,26.277797868532502
36,-109.3333130,-97.323612574000890,26.277797868532502
37,-109.3333130,-97.322537012078101,26.277797868532502
38,-109.3333130,-97.321461450155368,26.277797868532502
39,-109.3333130,-97.320385888232465,26.277797868532502
40,-109.3333130,-97.319310326309846,26.277797868532502
41,-109.3333130,-97.318234764387000,26.277797868532502
42,-109.3333130,-97.317159202464268,26.277797868532502
43,-109.3333130,-97.316083640541478,26.277797868532502
44,-109.3333130,-97.315008078618746,26.277797868532502
45,-109.3333130,-97.313932516696013,26.277797868532502
46,-109.3333130,-97.312856954773224,26.277797868532502
47,-109.3333130,-97.311781392850378,26.277797868532502
48,-109.3333130,-97.310705830927645,26.277797868532502
49,-109.3333130,-97.309630269004856,26.277797868532502
50,-109.3333130,-97.308554707082124,26.277797868532502
51,-109.3333130,-97.307479145159391,26.277797868532502
52,-109.3333130,-97.306403583236602,26.277797868532502
53,-106.6012878,-97.305328021313755,26.277797868532502
54,-106.6012878,-97.304252459390966,26.277797868532502
55,-106.6012878,-97.303176897468234,26.277797868532502
56,-106.6012878,-97.302101335545501,26.277797868532502
57,-106.6012878,-97.301025773622769,26.277797868532502
58,-106.6012878,-97.299950211699979,26.277797868532502
59,-106.6012878,-97.298874649777247,26.277797868532502
60,-106.6012878,-97.297799087854344,26.277797868532502
61,-106.6012878,-97.296723525931725,26.277797868532502
62,-106.6012878,-97.295647964008879,26.277797868532502
63,-101.1372375,-97.294572402086146,26.277797868532502
64,-87.4771118,-97.293496840163357,26.277797868532502
65,-90.2091370,-97.292421278240624,26.277797868532502
66,-98.4052124,-97.291345716317892,26.277797868532502
67,-112.0653381,-97.290270154395103,26.277797868532502
68,-131.1895447,-97.289194592472256,26.277797868532502
69,-150.3137207,-97.288119030549524,26.277797868532502
70,-161.2418213,-97.287043468626734,26.277797868532502
71,-150.3137207,-97.285967906704002,26.277797868532502
72,-133.9215546,-97.284892344781269,26.277797868532502
73,-117.5293884,-97.283816782858480,26.277797868532502
74,-122.9934692,-97.282741220935634,26.277797868532502
75,-122.9934692,-97.281665659012845,26.277797868532502
76,-122.9934692,-97.280590097090112,26.277797868532502
